r,g,b
226,0,28
118,0,17
184,89,109
164,21,65
165,101,147
146,48,138
253,167,254
75,19,122
166,144,203
158,165,185
3,55,231
42,130,255
80,156,255
73,92,113
9,34,58
90,156,203
56,178,248
70,75,77
100,146,125
19,52,33
21,158,35
148,236,8
244,218,20
213,185,138
125,98,63
253,103,18
223,119,48
162,64,11
77,23,18
38,0,0
119,87,88
255,255,255
0,0,0
